record_id,shift,machine_type,operator_level,zone,maintenance_status,ppe_compliance,temperature_c,distance_cm,vibration_mm_s,humidity_pct,pressure_bar,noise_db,runtime_min,operator_fatigue_score,near_miss_last_30d,inspection_delay_days,crew_size,risk_level
72,morning,cutter_D,senior,assembly,on_time,ok,29.2,130.99,4.3,58.72,4.67,96.27,59.0,6.4,1,2,2,safe
73,morning,cutter_D,senior,loading,on_time,ok,60.69,46.73,4.39,,4.81,74.66,106.8,5.4,2,6,4,unsafe
74,night,press_A,mid,assembly,on_time,,27.73,56.6,2.16,54.36,4.6,78.64,112.1,8.9,3,6,3,unsafe
75,afternoon,press_B,mid,loading,on_time,ok,41.65,63.07,7.54,21.74,8.61,73.61,116.7,6.0,2,4,3,safe
76,afternoon,press_A,senior,heat_area,on_time,ok,41.49,18.6,4.65,58.76,4.53,90.12,358.3,2.7,1,6,2,unsafe
77,night,press_A,junior,assembly,on_time,ok,50.85,83.31,5.9,61.24,6.86,81.86,190.2,3.1,0,7,1,safe
78,morning,cutter_D,mid,heat_area,delayed,ok,50.02,153.21,4.22,62.47,6.15,98.55,125.9,5.5,1,5,3,safe
79,afternoon,press_A,junior,maintenance,on_time,ok,37.78,173.34,6.46,46.47,6.37,82.72,165.6,4.2,2,3,4,safe
80,morning,press_B,mid,heat_area,delayed,ok,64.24,93.4,4.82,56.33,9.07,81.18,93.7,2.7,2,3,2,unsafe
81,night,furnace_C,junior,loading,on_time,ok,56.35,137.08,5.19,71.94,5.43,81.61,323.1,4.0,0,8,4,safe
82,afternoon,furnace_C,senior,assembly,on_time,missing,62.2,98.12,7.43,71.79,6.8,86.36,194.5,5.1,1,6,1,unsafe
83,morning,furnace_C,senior,loading,delayed,ok,44.22,115.46,8.24,51.59,6.05,63.36,181.4,8.0,1,3,2,unsafe
84,morning,press_A,junior,assembly,on_time,ok,27.14,68.02,5.45,53.95,6.3,79.77,240.6,4.4,0,7,2,safe
85,morning,press_B,mid,loading,on_time,ok,45.29,104.83,1.61,67.55,10.29,78.37,283.6,6.0,1,3,2,safe
86,morning,press_B,senior,loading,delayed,ok,40.17,116.81,13.08,30.99,5.43,85.53,73.4,4.6,1,4,3,unsafe
87,afternoon,press_A,mid,maintenance,on_time,partial,51.52,59.75,9.34,47.48,8.18,77.31,226.4,2.1,2,6,2,unsafe
88,afternoon,press_B,senior,heat_area,delayed,,53.04,87.29,8.09,70.7,8.15,69.65,159.5,6.3,0,7,4,unsafe
89,night,press_A,mid,assembly,on_time,ok,46.46,,3.84,65.65,5.88,81.07,148.2,3.9,1,2,2,safe
90,afternoon,press_A,junior,assembly,delayed,ok,24.52,108.92,6.25,57.17,8.62,69.25,266.0,5.3,3,5,2,safe
91,morning,press_B,junior,maintenance,on_time,ok,66.66,52.69,4.3,30.92,4.9,61.67,77.1,4.6,2,3,3,unsafe
92,afternoon,press_A,junior,heat_area,on_time,partial,52.03,78.2,8.28,51.3,5.82,85.54,127.0,7.2,1,2,1,unsafe
93,night,furnace_C,mid,loading,on_time,ok,103.51743101442493,164.92,6.08,43.74,4.43,86.21,118.3,4.0,1,2,3,safe
94,afternoon,furnace_C,junior,assembly,on_time,ok,45.97,130.74,3.77,56.63,6.54,83.2,158.4,6.1,1,7,2,safe
95,night,cutter_D,mid,heat_area,on_time,ok,57.7,137.22,4.46,40.67,5.05,96.73,162.0,4.4,1,4,2,safe
96,afternoon,press_A,mid,assembly,on_time,ok,28.37,80.86,7.97,37.64,7.06,73.01,221.9,3.7,4,5,2,safe
97,afternoon,press_A,mid,maintenance,on_time,ok,49.42,91.23,9.02,23.09,6.26,66.12,132.8,0.0,1,6,4,unsafe
98,afternoon,press_A,senior,loading,on_time,partial,39.73,123.08,8.86,69.11,5.88,78.37,276.8,9.2,0,3,2,safe
99,morning,furnace_C,senior,maintenance,on_time,ok,56.35,144.61,7.17,46.4,6.51,75.87,167.3,6.0,1,5,3,safe
100,morning,furnace_C,mid,heat_area,critical,partial,74.38,21.69,7.24,54.2,5.65,71.42,72.6,3.2,3,5,3,unsafe
101,morning,press_A,senior,loading,on_time,ok,29.21,41.96,0.1,51.97,5.08,78.28,95.0,2.4,2,4,2,safe
102,afternoon,cutter_D,mid,loading,on_time,ok,35.79,143.83,6.15,,10.14,77.5,181.1,3.8,0,5,3,safe
103,morning,press_A,mid,heat_area,on_time,ok,59.49,70.31,19.214436119182317,34.37,5.87,62.48,161.7,6.3,1,8,2,safe
104,afternoon,press_B,senior,maintenance,on_time,partial,69.18,66.49,5.81,37.93,4.42,75.03,157.1,0.8,1,5,2,safe
105,night,furnace_C,junior,maintenance,critical,ok,54.34,46.1,7.92,41.88,4.91,70.77,297.1,6.4,0,3,2,unsafe
106,morning,cutter_D,junior,maintenance,on_time,ok,51.09,,2.58,57.13,4.85,85.08,210.4,9.0,4,7,2,unsafe
107,afternoon,furnace_C,senior,loading,critical,ok,54.72,48.92,9.03,40.86,7.07,73.1,105.0,2.4,1,7,2,unsafe
108,night,cutter_D,mid,heat_area,on_time,ok,77.31,163.19,6.89,76.45,6.92,95.0,120.1,6.4,1,4,2,unsafe
109,morning,press_B,senior,heat_area,delayed,ok,33.03,89.21,8.0,66.38,7.82,93.43,102.1,9.4,0,5,2,unsafe
110,morning,cutter_D,senior,maintenance,on_time,missing,45.14,87.97,7.58,63.32,6.02,89.11,81.7,6.1,1,5,3,unsafe
111,morning,press_A,junior,assembly,delayed,missing,24.49,100.58,7.83,50.32,6.14,65.04,307.5,5.6,1,2,2,unsafe
112,morning,cutter_D,senior,loading,on_time,ok,13.92,131.68,4.6,73.2,6.02,96.55,161.0,5.9,0,8,3,safe
113,night,press_B,mid,loading,on_time,partial,47.57,131.11,5.34,48.95,7.19,95.18,66.2,5.4,2,7,2,safe
114,night,cutter_D,mid,loading,on_time,ok,45.67,,5.7,51.56,7.59,85.17,263.7,8.9,1,4,3,safe
115,afternoon,press_B,mid,maintenance,on_time,ok,40.58,67.92,5.74,54.38,7.74,90.91,88.0,4.0,1,4,1,safe
116,night,furnace_C,senior,heat_area,critical,ok,64.73,79.57,10.0,61.83,6.65,76.03,146.8,2.1,2,6,2,unsafe
117,night,press_B,junior,heat_area,on_time,ok,91.18,116.92,6.92,60.92,7.95,64.2,135.9,5.9,1,4,2,unsafe
118,morning,furnace_C,mid,assembly,on_time,missing,52.9,71.54,10.07,45.35,7.15,72.16,54.5,2.8,1,5,2,safe
119,night,press_A,mid,heat_area,delayed,ok,60.12,79.82,11.35,44.54,6.87,96.56,39.9,5.6,0,4,2,unsafe
120,afternoon,press_A,mid,heat_area,on_time,ok,46.21,,5.68,60.96,6.97,65.58,191.4,4.3,1,2,3,safe
121,night,press_A,mid,heat_area,critical,ok,57.54,107.48,0.1,62.01,8.05,81.0,233.7,,0,4,3,unsafe
122,night,press_A,junior,maintenance,delayed,ok,41.14,17.78,9.22,46.49,5.64,81.31,151.6,8.2,2,2,3,unsafe
123,morning,cutter_D,junior,maintenance,,ok,39.07,115.02,4.31,29.78,5.39,78.38,404.7,5.9,3,2,2,safe
124,morning,press_A,junior,assembly,delayed,missing,65.83,71.82,4.74,49.1,4.96,75.01,91.9,5.3,2,2,2,unsafe
125,morning,cutter_D,senior,heat_area,on_time,partial,68.13,114.76,4.62,60.73,6.74,83.65,46.3,2.6,0,5,4,unsafe
126,afternoon,press_B,junior,maintenance,on_time,partial,45.64,117.19,4.52,77.28,4.89,73.94,163.5,0.7,3,1,2,unsafe
127,night,press_A,junior,assembly,on_time,ok,16.35,136.28,6.85,35.23,7.1,68.2,75.9,6.9,1,9,4,safe
128,night,cutter_D,senior,assembly,on_time,ok,39.67,137.37,2.07,46.03,6.36,86.94,126.7,7.9,2,5,2,safe
129,morning,furnace_C,junior,assembly,delayed,ok,88.44,137.13,4.13,46.55,7.48,88.66,212.6,5.1,0,4,4,safe
130,afternoon,press_B,senior,loading,critical,ok,41.23,148.53,8.55,70.98,6.43,86.83,98.0,3.7,2,1,4,unsafe
131,afternoon,furnace_C,mid,assembly,on_time,ok,69.24,100.2,6.87,51.51,5.74,71.71,126.8,5.8,0,6,3,safe
132,morning,furnace_C,senior,maintenance,on_time,partial,73.3,91.13,6.91,39.3,7.46,67.74,228.3,4.6,2,5,1,unsafe
133,morning,press_A,junior,heat_area,critical,ok,56.63,110.55,6.07,59.82,8.3,76.44,118.4,8.8,0,5,2,unsafe
134,morning,cutter_D,junior,heat_area,on_time,ok,43.9,115.62,3.35,46.34,5.62,97.11,163.5,7.9,0,4,4,unsafe
135,night,cutter_D,mid,assembly,on_time,ok,14.78,79.18,4.39,34.86,6.74,90.81,173.7,8.2,0,5,3,safe
136,morning,furnace_C,senior,heat_area,on_time,ok,74.21,104.17,6.03,39.5,6.38,85.34,118.9,6.4,2,4,2,unsafe
137,afternoon,press_A,mid,loading,critical,ok,34.22,86.77,11.07,76.28,6.99,87.01,120.9,2.1,1,6,2,unsafe
138,afternoon,furnace_C,junior,loading,on_time,missing,58.11,68.11,1.0,57.38,5.66,82.79,129.3,6.7,0,2,3,unsafe
139,afternoon,press_A,mid,loading,delayed,ok,29.0,133.17,6.01,53.51,8.17,80.09,92.2,5.6,1,5,2,safe
140,night,press_A,mid,loading,delayed,partial,40.82,89.93,3.57,48.5,4.04,86.96,159.4,7.5,0,5,3,safe
141,night,press_A,mid,maintenance,on_time,ok,44.4,151.7,1.87,56.09,5.95,76.08,93.3,7.2,3,5,3,unsafe
142,morning,press_B,mid,maintenance,on_time,ok,47.22,33.11,7.63,55.92,7.88,66.27,100.0,5.8,2,2,4,unsafe
143,afternoon,cutter_D,senior,loading,delayed,ok,30.62,78.51,19.951752504160698,56.09,7.09,89.51,76.7,10.0,1,2,1,unsafe
144,morning,furnace_C,mid,assembly,on_time,partial,70.36,91.14,6.49,53.61,7.76,90.14,237.3,4.6,0,4,1,safe
145,morning,furnace_C,junior,assembly,delayed,partial,48.84,129.81,8.53,64.16,7.56,68.94,60.8,7.3,0,5,1,safe
146,morning,press_B,mid,assembly,critical,ok,23.91,103.98,6.74,52.32,6.93,86.4,300.7,3.8,4,3,4,unsafe
147,afternoon,press_B,junior,loading,on_time,ok,42.69,108.87,4.55,38.31,8.99,94.13,122.9,7.0,3,2,2,unsafe
148,afternoon,press_B,mid,heat_area,,ok,54.41,50.55,11.31,43.43,6.37,78.98,105.3,6.8,1,4,1,unsafe
149,morning,cutter_D,mid,heat_area,delayed,ok,55.93,49.51,5.96,24.29,7.71,75.64,76.8,5.6,0,6,2,unsafe
150,morning,press_A,junior,maintenance,delayed,missing,60.35,91.29,8.12,80.38,8.85,80.11,81.1,8.8,3,5,2,unsafe
151,night,cutter_D,junior,maintenance,on_time,ok,41.16,42.26,5.51,64.08,8.08,80.05,93.0,4.8,2,2,3,unsafe
152,morning,furnace_C,junior,maintenance,on_time,ok,54.56,71.38,1.43,40.38,6.14,73.45,459.0,4.3,3,3,3,unsafe
153,morning,press_B,senior,heat_area,on_time,ok,40.76,107.53,1.0,48.05,6.87,82.9,92.9,5.2,1,2,3,unsafe
154,afternoon,furnace_C,senior,loading,delayed,ok,65.85,63.62,5.23,43.08,4.01,64.57,165.6,6.6,1,3,1,unsafe
155,night,press_B,junior,heat_area,on_time,ok,56.21,146.19,7.82,,7.7,68.0,115.4,7.1,1,5,4,unsafe
156,morning,cutter_D,senior,assembly,delayed,ok,38.96,132.84,8.23,32.12,5.05,83.17,313.1,7.5,0,6,2,safe
157,afternoon,cutter_D,mid,assembly,on_time,ok,21.14,35.0,7.51,53.6,5.47,82.8,145.5,3.4,2,3,3,safe
158,night,press_B,junior,heat_area,on_time,ok,71.33,57.37,3.33,50.48,5.75,84.09,66.9,4.3,2,4,1,unsafe
159,morning,press_A,junior,heat_area,on_time,ok,39.27,10.0,9.05,63.58,5.9,95.88,101.5,5.9,2,6,1,unsafe
160,afternoon,furnace_C,mid,maintenance,delayed,partial,48.9,62.61,4.38,50.54,5.96,79.94,371.3,4.6,2,6,1,unsafe
161,afternoon,cutter_D,mid,assembly,,ok,48.3,116.82,5.97,27.39,6.86,88.38,194.7,5.9,1,4,2,safe
162,afternoon,press_A,mid,loading,on_time,ok,29.64,73.51,5.48,48.48,5.72,70.22,127.4,4.7,1,6,3,safe
163,afternoon,furnace_C,junior,heat_area,on_time,ok,48.08,106.13,5.12,38.39,7.39,85.91,78.6,4.6,1,7,1,safe
164,afternoon,furnace_C,junior,heat_area,delayed,ok,40.51,36.72,9.44,53.11,5.73,74.26,83.4,5.1,1,3,2,unsafe
165,morning,furnace_C,mid,heat_area,on_time,ok,74.65,117.93,3.95,72.08,4.98,79.64,72.1,4.9,2,1,3,unsafe
166,night,press_A,junior,heat_area,on_time,ok,47.46,60.57,2.53,27.65,6.79,80.02,52.4,6.1,0,3,1,unsafe
167,morning,furnace_C,junior,loading,critical,ok,91.13,98.43,7.84,40.8,8.55,88.3,188.5,4.9,0,4,2,unsafe
168,morning,cutter_D,junior,heat_area,delayed,missing,42.07,86.75,5.62,44.26,6.94,71.21,172.0,4.5,2,5,2,unsafe
169,morning,press_A,senior,assembly,critical,ok,32.94,35.5,15.23,46.66,6.03,58.45,139.9,6.6,0,6,3,safe
170,afternoon,press_A,senior,assembly,on_time,ok,37.22,39.64,6.99,62.36,4.51,77.08,253.2,5.2,0,9,2,safe
171,afternoon,cutter_D,mid,heat_area,on_time,ok,56.92,123.87,4.6,49.57,6.21,87.22,185.2,9.5,1,3,4,unsafe
172,morning,press_A,senior,maintenance,delayed,ok,38.36,93.96,4.18,57.82,6.81,80.37,58.6,5.1,1,5,2,unsafe
173,afternoon,cutter_D,junior,heat_area,on_time,ok,61.35,126.75,1.36,43.24,6.0,94.09,467.8,4.1,0,5,2,unsafe
174,morning,press_B,mid,loading,delayed,partial,32.26,109.36,4.24,55.22,5.13,82.94,130.3,10.0,0,4,1,safe
175,afternoon,press_A,junior,loading,on_time,ok,27.42,93.0,5.75,62.89,5.39,73.93,199.9,6.2,2,6,3,safe
176,morning,cutter_D,mid,maintenance,on_time,ok,22.42,29.59,8.64,41.75,8.39,62.07,130.9,6.9,1,8,2,safe
177,afternoon,press_B,senior,maintenance,on_time,ok,17.32,80.54,7.97,62.94,9.16,76.86,137.3,6.0,2,8,3,safe
178,afternoon,press_B,mid,loading,on_time,ok,37.78,97.04,6.0,52.73,6.15,88.25,51.6,6.1,2,2,2,safe
179,night,press_B,junior,loading,on_time,ok,40.39,166.36,4.79,66.64,8.17,77.47,94.5,7.8,1,3,2,safe
180,morning,furnace_C,mid,maintenance,on_time,ok,48.42,114.04,6.09,49.18,4.47,79.25,166.2,2.5,1,8,3,unsafe
181,morning,press_A,junior,heat_area,critical,ok,68.92,133.76,6.66,57.34,8.33,82.79,120.4,6.1,1,5,3,unsafe
182,morning,press_B,senior,heat_area,on_time,ok,68.74,110.91,9.28,51.43,7.62,69.86,56.0,2.0,0,8,2,safe
183,night,cutter_D,mid,assembly,delayed,ok,39.98,65.1,6.08,50.65,7.73,90.61,198.4,5.8,0,4,3,unsafe
184,night,press_A,mid,maintenance,delayed,missing,22.47,84.1,6.31,55.63,4.27,95.73,117.7,4.7,0,6,3,safe
185,morning,furnace_C,mid,maintenance,on_time,ok,49.2,98.27,0.63,59.52,6.88,77.44,136.2,5.6,1,3,1,safe
186,afternoon,press_B,mid,assembly,on_time,partial,36.8,57.13,5.07,34.51,7.29,68.84,59.0,5.5,1,4,2,safe
187,night,cutter_D,junior,loading,delayed,partial,36.11,84.55,8.34,72.07,7.61,84.4,48.0,7.7,5,3,2,unsafe
188,afternoon,press_A,mid,heat_area,on_time,ok,45.63,72.8,3.15,25.96,7.69,58.98,140.0,5.4,1,2,2,safe
189,afternoon,cutter_D,junior,assembly,delayed,ok,36.16,146.2,4.85,42.41,6.59,86.03,237.7,4.0,1,5,3,unsafe
190,morning,press_B,mid,maintenance,delayed,ok,39.36,17.17,8.24,50.68,6.52,83.07,195.4,4.3,1,7,2,unsafe
191,morning,press_A,senior,assembly,critical,ok,36.37,122.2,4.55,57.77,7.51,94.08,181.7,6.7,1,3,1,safe
192,night,press_A,senior,assembly,on_time,ok,46.5,,7.83,74.07,6.42,79.25,146.3,8.4,1,2,2,unsafe
193,night,press_A,mid,loading,on_time,partial,48.32,39.98,4.33,25.98,5.37,84.68,64.9,3.8,3,6,4,unsafe
194,afternoon,press_B,mid,loading,on_time,missing,33.07,139.3,4.65,44.89,6.1,71.25,35.1,1.6,1,3,3,safe
195,morning,press_B,junior,assembly,on_time,ok,59.25,115.62,3.03,22.22,5.38,75.79,396.9,3.8,0,4,1,safe
196,morning,cutter_D,mid,loading,delayed,ok,32.24,141.91,7.33,52.44,5.84,69.27,117.4,7.0,1,5,2,safe
197,afternoon,press_B,junior,heat_area,on_time,ok,34.59,118.02,10.91,55.8,8.73,77.25,96.0,7.9,2,4,2,safe
198,night,press_A,mid,assembly,on_time,partial,48.57,152.09,7.22,74.27,6.73,78.25,134.9,4.3,0,7,3,safe
199,night,furnace_C,junior,assembly,delayed,ok,46.19,109.56,4.6,53.69,5.31,83.69,76.6,7.3,1,7,2,unsafe
200,night,furnace_C,junior,loading,on_time,ok,59.86,92.52,8.0,66.62,7.05,75.39,102.1,10.6,0,2,4,safe
201,afternoon,press_A,mid,heat_area,on_time,ok,25.16,92.0,4.8,60.17,5.42,79.75,297.1,5.7,0,4,2,safe
202,morning,press_A,junior,maintenance,on_time,ok,60.71,123.52,8.52,45.91,6.62,76.0,155.4,8.3,0,7,2,safe
203,morning,press_A,mid,maintenance,delayed,partial,52.07,52.72,8.27,32.27,6.27,76.02,173.9,6.9,0,2,3,unsafe
204,night,furnace_C,junior,maintenance,on_time,ok,37.99,67.18,0.1,55.85,7.01,81.72,122.9,4.8,0,3,3,unsafe
205,afternoon,furnace_C,junior,heat_area,delayed,ok,48.25,79.19,4.29,31.11,3.95,79.36,222.5,4.9,0,5,2,unsafe
206,morning,press_B,mid,maintenance,on_time,missing,64.07,16.34,7.58,,6.19,85.85,219.6,,1,11,3,unsafe
207,morning,cutter_D,junior,heat_area,delayed,ok,45.15,94.83,6.83,49.73,4.37,81.91,115.7,5.5,2,4,2,unsafe
